id,type,dc\.identifier,broader,broaderTransitive,inScheme,notation,prefLabel,semanticRelation,topConceptOf,narrower,narrowerTransitive,definition,hasTopConcept,note
https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/afvalwater,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.materiaalklasse.afvalwater,https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/water,https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/water,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/materiaalklasse,afvalwater,Afvalwater,https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/water,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/materiaalklasse,null,null,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/antropogeneobjecten,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.materiaalklasse.antropogeneobjecten,null,null,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/materiaalklasse,antropogeneobjecten,Antropogene objecten,https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/dnapl|https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/lnapl|https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/puurproduct,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/materiaalklasse,https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/dnapl|https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/lnapl|https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/puurproduct,https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/dnapl|https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/lnapl|https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/puurproduct,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/bemalingswater,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.materiaalklasse.bemalingswater,https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/water,https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/water,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/materiaalklasse,bemalingswater,Bemalingswater,https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/water,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/materiaalklasse,null,null,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/bodem,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.materiaalklasse.bodem,https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/vastdeelvdaarde,https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/vastdeelvdaarde,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/materiaalklasse,bodem,Bodem,https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/vastdeelvdaarde,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/materiaalklasse,null,null,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/bodemlucht,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.materiaalklasse.bodemlucht,https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/lucht,https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/lucht,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/materiaalklasse,bodemlucht,Bodemlucht,https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/lucht,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/materiaalklasse,null,null,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/bodemvocht,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.materiaalklasse.bodemvocht,https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/water,https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/water,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/materiaalklasse,bodemvocht,Bodemvocht,https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/water,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/materiaalklasse,null,null,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/depositie,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.materiaalklasse.depositie,https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/lucht,https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/lucht,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/materiaalklasse,depositie,Depositie,https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/lucht,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/materiaalklasse,null,null,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/dierlijkmateriaal,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.materiaalklasse.dierlijkmateriaal,null,null,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/materiaalklasse,dierlijkmateriaal,Dierlijk materiaal,https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/eieren|https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/melk|https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/schelpdieren,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/materiaalklasse,https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/eieren|https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/melk|https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/schelpdieren,https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/eieren|https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/melk|https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/schelpdieren,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/dnapl,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.materiaalklasse.dnapl,https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/antropogeneobjecten,https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/antropogeneobjecten,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/materiaalklasse,dnapl,Zaklaag (DNAPL),https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/antropogeneobjecten,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/materiaalklasse,null,null,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/drinkwater,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.materiaalklasse.drinkwater,https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/water,https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/water,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/materiaalklasse,drinkwater,Drinkwater,https://data.bodemenondergrond.vlaanderen.be/id/concept/materiaalklasse/water,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/materiaalklasse,null,null,null,null,null
