uri,dc.identifier,collections,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
conceptscheme:materiaalklasse,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.materiaalklasse,,materiaalklasse,Codelijst materiaalklasse.,,,,,,,Aard van de Bemonstering.,,,,,,,,,,,,,
collectie:materiaalklasses,be.vlaanderen.bodemenondergrond.data.id.collection.materiaalklasse.materiaalklasses,,materiaalklasses,Collectie van materiaalklasses.,,,,,,,,,,,,,conceptscheme:materiaalklasse,,,,,,,
concept:antropogeneobjecten,be.vlaanderen.bodemenondergrond.data.id.concept.materiaalklasse.antropogeneobjecten,collectie:materiaalklasses,antropogeneobjecten,Antropogene objecten,,,,,,,,,,,,,conceptscheme:materiaalklasse,,,,,,,conceptscheme:materiaalklasse
concept:lnapl,be.vlaanderen.bodemenondergrond.data.id.concept.materiaalklasse.lnapl,collectie:materiaalklasses,lnapl,Drijflaag (LNAPL),,concept:antropogeneobjecten,,,,,,,,,,,conceptscheme:materiaalklasse,,,,,,,conceptscheme:materiaalklasse
concept:dnapl,be.vlaanderen.bodemenondergrond.data.id.concept.materiaalklasse.dnapl,collectie:materiaalklasses,dnapl,Zaklaag (DNAPL),,concept:antropogeneobjecten,,,,,,,,,,,conceptscheme:materiaalklasse,,,,,,,conceptscheme:materiaalklasse
concept:puurproduct,be.vlaanderen.bodemenondergrond.data.id.concept.materiaalklasse.puurproduct,collectie:materiaalklasses,puurproduct,Puur product,,concept:antropogeneobjecten,,,,,,,,,,,conceptscheme:materiaalklasse,,,,,,,conceptscheme:materiaalklasse
concept:water,be.vlaanderen.bodemenondergrond.data.id.concept.materiaalklasse.water,collectie:materiaalklasses,water,Water,,,,,,,,,,,,,conceptscheme:materiaalklasse,,,,,,,conceptscheme:materiaalklasse
concept:oppervlaktewater,be.vlaanderen.bodemenondergrond.data.id.concept.materiaalklasse.oppervlaktewater,collectie:materiaalklasses,oppervlaktewater,Oppervlaktewater,,concept:water,,,,,,,,,,,conceptscheme:materiaalklasse,,,,,,,conceptscheme:materiaalklasse
concept:drinkwater,be.vlaanderen.bodemenondergrond.data.id.concept.materiaalklasse.drinkwater,collectie:materiaalklasses,drinkwater,Drinkwater,,concept:water,,,,,,,,,,,conceptscheme:materiaalklasse,,,,,,,conceptscheme:materiaalklasse
concept:grondwater,be.vlaanderen.bodemenondergrond.data.id.concept.materiaalklasse.grondwater,collectie:materiaalklasses,grondwater,Grondwater,,concept:water,,,,,,,,,,,conceptscheme:materiaalklasse,,,,,,,conceptscheme:materiaalklasse
